hs_code,type,datas_code,datas_desc,type_pure_string
0401100000,MLK&CRM<1% FAT,0401100000,,MLKCRM<1%FAT
0401200000,MLK&CRM<6% FAT,0401200000,Milk not concentrated nor sweetened 1-6% fat,MLKCRM<6%FAT
0401300000,MLK&CRM>6% FAT,0401300000,Milk and cream not concentrated nor sweetened < 6% fa,MLKCRM>6%FAT
0402100000,NFDM<1.5% FAT,0402100000,Milk powder < 1.5% fat,NFDM<15%FAT
0402210000,NFDM >I.5% FAT,0402210000,Milk and cream powder unsweetened < 1.5% fat,NFDM>I5%FAT
0402290000,MLK&CRM>1.5% FT,0402290000,Milk and cream powder sweetened < 1.5% fat,MLKCRM>15%FT
0402910000,MLK&CRMCNTD NSW,0402910000,Milk and cream unsweetened- concentrated,MLKCRMCNTDNSW
0402990000,MLK&CRMCNTD SWT,0402990000,Milk and cream nes sweetened or concentrated,MLKCRMCNTDSWT
0403100000,YOGURT,0403100000,yoghurt- whether or not concentrated or containing added sugar or other sweetening matter or flavoured or containing added fruit or cocoa,YOGURT
0403900000,BUTTERMILK,0403900000,Buttermilk- curdled milk- cream- kephir- etc.,BUTTERMILK
0404102000,WHEY FLUID,0404102000,WHYCNC/SWFLUID,WHEYFLUID
0404104000,WHEY DRIED,0404104000,WHYNT CNC/SWDR,WHEYDRIED
0404900000,NAT MK PRO NESOI,0404900000,Natural milk products nes,NATMKPRONESOI
0405005000,BUTTER,0405100000,BUTTER,BUTTER
0405008020,ANHYDROUS MLK FT,0405008020,ANHYDRS MILK FAT,ANHYDROUSMLKFT
0405008040,FATOILFR MILK,0405008040,FT&OL F MKNESOI,FATOILFRMILK
0406100000,FRESH CHEESE,0406100000,Fresh cheese- unfermented whey cheese- curd,FRESHCHEESE
0406200000,CHEESE ALL KINDS,0406200000,Cheese- grated or powdered- of all kinds,CHEESEALLKINDS
0406300000,CHEESEPROCESSED,0406300000,Cheese processed- not grated or powdered,CHEESEPROCESSED
0406400000,CHEESEBLUE-VND,0406400000,Cheese- blue-veined,CHEESEBLUEVND
0406901000,CHEESE CHEDDAR,0406901000,CHEESE CHEDDAR,CHEESECHEDDAR
0406906500,CHEESE COLBY,0406906500,CHCOLBYNES,CHEESECOLBY
0406909000,CHEESEINC MIXT,0406909550,C/SBIMXSW-EQT,CHEESEINCMIXT
0407000020,BIRD EGGS/HATCH,0407190000,BIRD EGGS/HATCH,BIRDEGGSHATCH
0407000040,BRD EGG FRPRCK,0407000040,BRD EGG FRPRCK,BRDEGGFRPRCK
0408110000,EGG YOLKS DRIED,0408110000,Eggs; birds' eggs- yolks- dried- whether or not containing added sugar or other sweetening matter,EGGYOLKSDRIED
0408190000,EGG YLKFRFZCK,0408190000,Egg yolks except dried,EGGYLKFRFZCK
0408910000,BRD EGGS N/SHELL,0408910000,Eggs; birds' eggs (not in shell- excluding yolks only)- dried- whether or not containing added sugar or other sweetening matter,BRDEGGSNSHELL
0408990000,BRD EGG N/SHFR,0408990000,Eggs- bird- not in shell not dried,BRDEGGNSHFR
0409000020,HONEY NATURAL,0409000020,HONEY NATURAL,HONEYNATURAL
0409000050,HONEYNAT N/PKG,0409000050,HONEYNAT N/PKG,HONEYNATNPKG
0401202000,MCN CN/S1-6 NQ,0401202000,MCN CN/S1-6 NQ,MCNCNS16NQ
0401204000,MCN CN/S1-6 OQ,0401204000,MCN CN/S1-6 OQ,MCNCNS16OQ
0401301000,M&CNC/S6-45N1,0401301000,M&CNC/S6-45N1,MCNCS645N1
0401303000,MCN CNC/SW6-45,0401303000,MCN CNC/SW6-45,MCNCNCSW645
0406100000,F CH IN WH NF&CU,0406100000,Fresh cheese- unfermented whey cheese- curd,FCHINWHNFCU
0406100010,BLMDCH X STLTN,0406100010,BLMDCH X STLTN,BLMDCHXSTLTN
0406100040,ITLN CHS NOT LVS,0406100040,ITLN CHS NOT LVS,ITLNCHSNOTLVS
0406100050,CHS <.5% BTTRFT,0406100050,CHS <.5% BTTRFT,CHS<5%BTTRFT
0406100060,OTHER CHS & CRD,0406100060,OTHER CHS & CRD,OTHERCHSCRD
0406201000,CHROQFTGR/PW,0406201000,CHROQFTGR/PW,CHROQFTGRPW
0406203020,CHCHDCANG/P,0406203020,CHCHDCANG/P,CHCHDCANGP
0406203040,CHCHDG/PNES,0406203040,CHCHDG/PNES,CHCHDGPNES
0406204020,CHED&GDPRG/P,0406204020,CHED&GDPRG/P,CHEDGDPRGP
0406204040,CHE&G(XPR)G/P,0406204040,CHE&G(XPR)G/P,CHEGXPRGP
0406205020,CHPN-CWS MKG/P,0406205020,CHPN-CWS MKG/P,CHPNCWSMKGP
0406205040,CHIT-CW MK/XPGP,0406205040,CHIT-CW MK/XPGP,CHITCWMKXPGP
0406205060,CHIT-TPG/PNES,0406205060,CHIT-TPG/PNES,CHITTPGPNES
0406205500,CHSHP MKG/P,0406205500,CHSHP MKG/P,CHSHPMKGP
0406206015,MXC/P FR CDG/P,0406206015,MXC/P FR CDG/P,MXCPFRCDGP
0406206040,MXC/P ITCMG/P,0406206040,MXC/P ITCMG/P,MXCPITCMGP
0406206045,MXC/P S/E/GG/P,0406206045,MXC/P S/E/GG/P,MXCPSEGGP
0406206047,MXB/G/RETCG/P,0406206047,MXB/G/RETCG/P,MXBGRETCGP
0406206060,CHCNT CMGPNES,0406206060,CHCNT CMGPNES,CHCNTCMGPNES
0406206075,CHINC MXGPNES,0406206075,CHINC MXGPNES,CHINCMXGPNES
0406301040,CHPRBV(XRS)NGP,0406301040,CHPRBV(XRS)NGP,CHPRBVXRSNGP
0406302000,CHCHED(PR)NG/PW,0406302000,CHCHED(PR)NG/PW,CHCHEDPRNGPW
0406303000,CHCOLBYPRNG/P,0406303000,CHCOLBYPRNG/P,CHCOLBYPRNGP
0406304000,CHED&GD(PR)NG/P,0406304000,CHED&GD(PR)NG/P,CHEDGDPRNGP
0406305000,CHGR-PPRNTG/P,0406305000,CHGR-PPRNTG/P,CHGRPPRNTGP
0406305500,CHSHP MKPNGP,0406305500,CHSHP MKPNGP,CHSHPMKPNGP
0406306015,MXP CHFR CNGP,0406306015,MXP CHFR CNGP,MXPCHFRCNGP
0406306025,MXPCHAM XCNGP,0406306025,MXPCHAM XCNGP,MXPCHAMXCNGP
0406306030,MXP CHE/GNGP,0406306030,MXP CHE/GNGP,MXPCHEGNGP
0406306040,MXPCHITCMNGP,0406306040,MXPCHITCMNGP,MXPCHITCMNGP
0406306045,MXPCHSWETNGP,0406306045,MXPCHSWETNGP,MXPCHSWETNGP
0406306060,PCHCNTCMNGPNE,0406306060,PCHCNTCMNGPNE,PCHCNTCMNGPNE
0406306075,PCHINCMXNGPNE,0406306075,PCHINCMXNGPNE,PCHINCMXNGPNE
0406402000,CHROQFTOL,0406402000,CHROQFTOL,CHROQFTOL
0406404000,CHROQFTOT O LV,0406404000,CHROQFTOT O LV,CHROQFTOTOLV
0406406020,CHSTILT(UK)O LV,0406406020,CHSTILT(UK)O LV,CHSTILTUKOLV
0406406040,CHBL-VNOLVNES,0406406040,CHBL-VNOLVNES,CHBLVNOLVNES
0406408020,CHSTLT UKOT OL,0406408020,CHSTLT UKOT OL,CHSTLTUKOTOL
0406408040,CHB-V(X OL)NES,0406408040,CHB-V(X OL)NES,CHBVXOLNES
0406900500,CHBRYNDZA,0406900500,CHBRYNDZA,CHBRYNDZA
0406901020,CHCHDCANNLIC,0406901020,CHCHDCANNLIC,CHCHDCANNLIC
0406901040,CHCHDNESOI,0406901040,CHCHDNESOI,CHCHDNESOI
0406901500,CHEDAM & GOUDA,0406901500,CHEDAM & GOUDA,CHEDAMGOUDA
0406902000,CHGJTGTMK/WET,0406902000,CHGJTGTMK/WET,CHGJTGTMKWET
0406902500,CHGJETOSTNES0I,0406902500,CHGJETOSTNES0I,CHGJETOSTNES0I
0406903020,CHGYACMKNT OL,0406903020,CHGYACMKNT OL,CHGYACMKNTOL
0406903040,CHGOYANES0I,0406903040,CHGOYANES0I,CHGOYANES0I
0406904010,CHRMNOCMKOL,0406904010,CHRMNOCMKOL,CHRMNOCMKOL
0406904020,CHRMNCMKNESOI,0406904020,CHRMNCMKNESOI,CHRMNCMKNESOI
0406904030,CHPRM&RGCMKOL,0406904030,CHPRM&RGCMKOL,CHPRMRGCMKOL
0406904040,CHPRM&RGCMXOL,0406904040,CHPRM&RGCMXOL,CHPRMRGCMXOL
0406904050,CHPRM&REGNES0I,0406904050,CHPRM&REGNES0I,CHPRMREGNES0I
0406904060,CHPVN&PVTCMOL,0406904060,CHPVN&PVTCMOL,CHPVNPVTCMOL
0406904080,CHPVN&PVTNESOI,0406904080,CHPVN&PVTNESOI,CHPVNPVTNESOI
0406904520,CHSW/EMW/I FRM,0406904520,CHSW/EMW/I FRM,CHSWEMWIFRM
0406904540,CHGAMM & NOKK,0406904900,CHGAMM/NOKK,CHGAMMNOKK
0406905000,CHSH MKOLS4GR,0406905000,CHSH MKOLS4GR,CHSHMKOLS4GR
0406905500,CHPECOLNS4GR,0406905500,CHPECOLNS4GR,CHPECOLNS4GR
0406906000,CHSHP MKNESOI,0406905900,CHSHP MKNESOI,CHSHPMKNESOI
0406907000,CSBIMXCN ITCM,0406907000,CSBIMXCN ITCM,CSBIMXCNITCM
0406908010,CSBIMXC/P F BM,0406908010,CSBIMXC/P F BM,CSBIMXCPFBM
0406908015,CSBIMXC/P-CHD,0406908015,CSBIMXC/P-CHD,CSBIMXCPCHD
0406908025,CSBIMXC/P AME,0406908025,CSBIMXC/P AME,CSBIMXCPAME
0406908030,CSBIMXC/P E/G,0406908030,CSBIMXC/P E/G,CSBIMXCPEG
0406908045,CSBIMX C/P SWE,0406908045,CSBIMX C/P SWE,CSBIMXCPSWE
0406908050,CSBIMXNESNOV5,0406908050,CSBIMXNESNOV5,CSBIMXNESNOV5
0406908060,CSBIMXNESCCME,0406908060,CSBIMXNESCCME,CSBIMXNESCCME
0406908075,C&SBIMXNESOI,0406906300,C/SBIMXNESOI,CSBIMXNESOI
0401304000,MCNC/S>45NESOI,0401304200,MCNC/S>45NESOI,MCNCS>45NESOI
0402100000,MCC/S/PG/S1.5,0402100000,Milk powder < 1.5% fat,MCCSPGS15
0402212000,M&CC/NS/PG/S3,0402212000,M&CC/NS/PG/S3,MCCNSPGS3
0402214000,MCC/NSP/S3-35,0402214000,MCC/NSP/S3-35,MCCNSPS335
0402216000,MCC/NSNP/S35F,0402216000,MCC/NSNP/S35F,MCCNSNPS35F
0402992000,MKCDNSSWAC,0402992000,MKCDNSSWAC,MKCDNSSWAC
0402996000,M/CCNCSWNES0I,0402996000,M/CCNCSWNES0I,MCCNCSWNES0I
0403100000,YW/NSFOC FR CO,0403100000,yoghurt- whether or not concentrated or containing added sugar or other sweetening matter or flavoured or containing added fruit or cocoa,YWNSFOCFRCO
0403904000,SCDRDCNT NOV 6,0403904000,SCDRDCNT NOV 6,SCDRDCNTNOV6
0403908040,MCCUF/ANES FL,0403908040,MCCUF/ANES FL,MCCUFANESFL
0404102000,WHYCNC/SWFLUID,0404102000,WHYCNC/SWFLUID,WHYCNCSWFLUID
0404104000,WHYNT CNC/SWDR,0404104000,WHYNT CNC/SWDR,WHYNTCNCSWDR
0404900500,WHEY PROTEIN CON,0404900500,WHEY PROTEIN CON,WHEYPROTEINCON
0404901000,MK PCWHT/NSNES,0404901000,MK PCWHT/NSNES,MKPCWHTNSNES
0404906060,MILK PRODUCTS W,0404906560,MILK PRODUCTS W,MILKPRODUCTSW
0405007000,BTR>45WIQNT1B,0405007000,BTR>45WIQNT1B,BTR>45WIQNT1B
0405007500,BUTTER NESOI,0405007500,BUTTER NESOI,BUTTERNESOI
0405008020,ANHYDRS MILK FAT,0405008020,ANHYDRS MILK FAT,ANHYDRSMILKFAT
0405008040,FT&OL F MKNESOI,0405008040,FT&OL F MKNESOI,FTOLFMKNESOI
0406100015,CHDDR CH S,0406100015,CHDDR CH S,CHDDRCHS
0406206025,MXC/P AM XCG/P,0406206025,MXC/P AM XCG/P,MXCPAMXCGP
0406306042,MXPCHITNESNG,0406306042,MXPCHITNESNG,MXPCHITNESNG
0406904070,CHP&PCMKX OL,0406904070,CHP&PCMKX OL,CHPPCMKXOL
0406906500,CHCOLBYNES,0406906500,CHCOLBYNES,CHCOLBYNES
0402100010,MK/CM 99041009,0402100010,MK/CM 99041009,MKCM99041009
0402100090,MK/CM NESOI,0403908700,MK/CMNESOI,MKCMNESOI
0402290000,M/CCNTSWPW/S0,0402290000,Milk and cream powder sweetened < 1.5% fat,MCCNTSWPWS0
0402914000,M&CC/NSNESNAC,0402914000,M&CC/NSNESNAC,MCCNSNESNAC
0403100010,YOGURT DRY,0403100500,YOGURT DRY,YOGURTDRY
0403100090,YOGURT NESOI,0403109000,YOGURT NESOI,YOGURTNESOI
