Year,YearWeeknum,YearMonth,Month,Time,TimeRow,IreCent,DenCent,FranCent,GerCent,NetCent,EUCent,UKCent,GBCent,UsHogCent,BrazCent,CanBar,FranBar,GerFeedBar,GerFeedWh,FranMill,GerWheat,GerRape,UsMaize,UsSoftRed,UsSoyabeans,GerKill,GBKill,IrishKill,NIKill,DenKill,NetKill,USKill,SowKillGer,SowKillIRE,SowKillGB,USDeadWeight_x,CAD,USD,EUR,AUD,CNY,DKK,GBP,Angola,Mexico,Canada,Chile,Philippines,Singapore,Australia,China,Hong Kong,Japan,Korea,Russia,Ukraine,United States,EUMarAvaiKg,USMarAvaiKg,CNMarAvaiKg,availEuro,availUS,availCN,RussiaEuro,EUMarAvaiKgO,USMarAvaiKgO,CNMarAvaiKgO,availEuroO,availUSO,availCNO,EUPricePKg,USPricePKg,CNPricePKg,AusKg,BrazilKg,Canadakg,EUKg,USKg,ReporterKg,AusEuro,BrazilEuro,CanadaEuro,EUEuro,USEuro,ReporterV,EUProdkg,EUProdhd,EUDead_Weightkg,USDeadWeight_y,USProdhd,USProdkg,EUavailRatio,USavailRatio,EUavailRatioO,USavailRatioO
1995,199502,199501,1,07/01/1995,1,98.28,97.24,104.77,102.38,92.24,104.73,104.19,,82.63,,,,,,,,,,,,,,,,,,1628200.0,,,,187.0,0.482879952381,0.681853090909,,0.522014842105,0.0802503,0.113076761905,1.07439904762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.7098959006,7205000.0,610334799.964,,,,
1995,199503,199501,1,14/01/1995,2,96.56,97.24,105.3,103.51,90.36,104.2,103.66,,81.67,,,,,,,,,,,,,,,,,,1964100.0,,,,187.0,0.482879952381,0.681853090909,,0.522014842105,0.0802503,0.113076761905,1.07439904762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.7098959006,7205000.0,610334799.964,,,,
1995,199504,199501,1,21/01/1995,3,95.83,97.24,108.7,107.62,94.62,107.63,103.42,,83.32,,,,,,,,,,,,,,,,,,1821800.0,,,,187.0,0.482879952381,0.681853090909,,0.522014842105,0.0802503,0.113076761905,1.07439904762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.7098959006,7205000.0,610334799.964,,,,
1995,199505,199501,1,28/01/1995,4,95.67,99.49,112.19,112.11,102.05,110.86,104.7,,85.57,,,,,,,,,,,,,,,,,,1790900.0,,,,186.0,0.482879952381,0.681853090909,,0.522014842105,0.0802503,0.113076761905,1.07439904762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.7098959006,7205000.0,610334799.964,,,,
1995,199506,199502,2,04/02/1995,5,116.51,122.71,136.33,138.35,124.4,136.03,129.78,,79.31,,,,,,,,,,,,,,,,,,1752000.0,,,,185.0,0.4830355,0.67649395,,0.5042077,0.0793689,0.1141226,1.063217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.257916505,7151100.0,602536786.719,,,,
1995,199507,199502,2,11/02/1995,6,119.95,125.04,133.75,138.93,126.04,136.59,132.43,,88.82,,,,,,,,,,,,,,,,,,1781100.0,,,,186.0,0.4830355,0.67649395,,0.5042077,0.0793689,0.1141226,1.063217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.257916505,7151100.0,602536786.719,,,,
1995,199508,199502,2,18/02/1995,7,121.82,127.62,131.51,141.01,122.81,136.39,132.18,,89.19,,,,,,,,,,,,,,,,,,1809600.0,,,,186.0,0.4830355,0.67649395,,0.5042077,0.0793689,0.1141226,1.063217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.257916505,7151100.0,602536786.719,,,,
1995,199509,199502,2,25/02/1995,8,122.74,127.62,133.02,141.64,122.49,135.45,130.11,,82.11,,,,,,,,,,,,,,,,,,1808400.0,,,,186.0,0.4830355,0.67649395,,0.5042077,0.0793689,0.1141226,1.063217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.257916505,7151100.0,602536786.719,,,,
1995,199510,199503,3,04/03/1995,9,124.8,130.2,137.21,140.37,118.26,134.7,131.67,,80.71,,,,,,,,,,,,,,,,,,1875600.0,,,,186.0,0.462632782609,0.651074913043,,0.47830673913,0.0760492,0.115642652174,1.04195347826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.596882715,7562400.0,639755465.844,,,,
1995,199511,199503,3,11/03/1995,10,127.12,132.66,142.7,142.79,124.09,137.63,135.36,,80.17,,,,,,,,,,,,,,,,,,1888300.0,,,,186.0,0.462632782609,0.651074913043,,0.47830673913,0.0760492,0.115642652174,1.04195347826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.596882715,7562400.0,639755465.844,,,,
