hs_code,type,datas_code,datas_desc,type_pure_string
0401100000,MLK&CRM<1% FAT,0401100000,MCN CN/SWNOV 1,MLKCRM<1%FAT
0401200000,MLK&CRM<6% FAT,0401200000,MLK&CRM<6% FAT,MLKCRM<6%FAT
0401300000,MLK&CRM>6% FAT,0401300000,MLK&CRM>6% FAT,MLKCRM>6%FAT
0401400000,MLK&CRM6-10%FAT,0401400000,MLK&CRM6-10%FAT,MLKCRM610%FAT
0401500000,MLK&CRM>10% FAT,0401500000,MLK&CRM>10% FAT,MLKCRM>10%FAT
0402100000,NFDM<1.5% FAT,0402100000,NFDM<1.5% FAT,NFDM<15%FAT
0402210000,NFDM >I.5% FAT,0402210000,NFDM >I.5% FAT,NFDM>I5%FAT
0402290000,MLK&CRM>1.5% FT,0402290000,MLK&CRM>1.5% FT,MLKCRM>15%FT
0402910000,MLK&CRMCNTD NSW,0402910000,MLK&CRMCNTD NSW,MLKCRMCNTDNSW
0402990000,MLK&CRMCNTD SWT,0402990000,MLK&CRMCNTD SWT,MLKCRMCNTDSWT
0403100000,YOGURT,0403100000,YOGURT,YOGURT
0403900000,BUTTERMILK,0403900000,BUTTERMILK,BUTTERMILK
0404100500,WHEY PROT CONC,0404100500,WHEY_PRO_CONMOD,WHEYPROTCONC
0404100800,MOD WHEY NESOI,0404100850,MOD WHEY NESOI,MODWHEYNESOI
0404100850,MOD WHEY NESOI,0404100850,MOD WHEY NESOI,MODWHEYNESOI
0404102000,WHEY FLUID,0404102000,WHEY FLUID,WHEYFLUID
0404104000,WHEY DRIED,0404104000,WHEY DRIED,WHEYDRIED
0404900000,NAT MK PRO NESOI,0404900000,NAT MK PRO NESOI,NATMKPRONESOI
0405005000,BUTTER,0405100000,BUTTER,BUTTER
0405008020,ANHYDROUS MLK FT,0405008020,ANHYDROUS MLK FT,ANHYDROUSMLKFT
0405008040,FATOILFR MILK,0405008040,FATOILFR MILK,FATOILFRMILK
0405100000,BUTTER,0405100000,BUTTER,BUTTER
0405200000,DAIRY SPREADS,0405200000,DAIRY SPREADS,DAIRYSPREADS
0405900000,MLKFTS/OLSNESOI,0405900000,MLKFTS/OLSNESOI,MLKFTSOLSNESOI
0406100000,FRESH CHEESE,0406100000,FRESH CHEESE,FRESHCHEESE
0406200000,CHEESE ALL KINDS,0406200000,CHEESE ALL KINDS,CHEESEALLKINDS
0406300000,CHEESEPROCESSED,0406300000,CHEESEPROCESSED,CHEESEPROCESSED
0406400000,CHEESEBLUE-VND,0406400000,CHEESEBLUE-VND,CHEESEBLUEVND
0406901000,CHEESE CHEDDAR,0406901000,CHEESE CHEDDAR,CHEESECHEDDAR
0406906500,CHEESE COLBY,0406906500,CHCOLBYNES,CHEESECOLBY
0406909000,CHEESEINC MIXT,0406909550,C/SBIMXSW-EQT,CHEESEINCMIXT
0406909550,CHEESEINC MIXT,0406909550,CHEESEINC MIXT,CHEESEINCMIXT
0407000020,BIRD EGGS/HATCH,0407190000,BIRD EGGS/HATCH,BIRDEGGSHATCH
0407000040,BRD EGG FRPRCK,0407000040,BRD EGG FRPRCK,BRDEGGFRPRCK
0407110000,CHKN EGGS/HATCH,0407110000,CHKN EGGS/HATCH,CHKNEGGSHATCH
0407190000,BIRD EGGS/HATCH,0407190000,BIRD EGGS/HATCH,BIRDEGGSHATCH
0407210000,CHICKN EGG FRESH,0407210000,CHICKN EGG FRESH,CHICKNEGGFRESH
0407290000,BIRD EGGS FRESH,0407290000,EG NES ISFRESH,BIRDEGGSFRESH
0407900000,BIRD EGGS PR/CK,0407900000,EG NESISP/C,BIRDEGGSPRCK
